season,lg,team,abbreviation,champion
1947,BAA,Philadelphia Warriors,PHW,TRUE
1948,BAA,Baltimore Bullets,BLB,TRUE
1949,BAA,Minneapolis Lakers,MNL,TRUE
1950,NBA,Minneapolis Lakers,MNL,TRUE
1951,NBA,Rochester Royals,ROC,TRUE
1952,NBA,Minneapolis Lakers,MNL,TRUE
1953,NBA,Minneapolis Lakers,MNL,TRUE
1954,NBA,Minneapolis Lakers,MNL,TRUE
1955,NBA,Syracuse Nationals,SYR,TRUE
1956,NBA,Philadelphia Warriors,PHW,TRUE
1957,NBA,Boston Celtics,BOS,TRUE
1958,NBA,St. Louis Hawks,STL,TRUE
1959,NBA,Boston Celtics,BOS,TRUE
1960,NBA,Boston Celtics,BOS,TRUE
1961,NBA,Boston Celtics,BOS,TRUE
1962,NBA,Boston Celtics,BOS,TRUE
1963,NBA,Boston Celtics,BOS,TRUE
1964,NBA,Boston Celtics,BOS,TRUE
1965,NBA,Boston Celtics,BOS,TRUE
1966,NBA,Boston Celtics,BOS,TRUE
1967,NBA,Philadelphia 76ers,PHI,TRUE
1968,NBA,Boston Celtics,BOS,TRUE
1969,NBA,Boston Celtics,BOS,TRUE
1970,NBA,New York Knicks,NYK,TRUE
1971,NBA,Milwaukee Bucks,MIL,TRUE
1972,NBA,Los Angeles Lakers,LAL,TRUE
1973,NBA,New York Knicks,NYK,TRUE
1974,NBA,Boston Celtics,BOS,TRUE
1975,NBA,Golden State Warriors,GSW,TRUE
1976,NBA,Boston Celtics,BOS,TRUE
1977,NBA,Portland Trail Blazers,POR,TRUE
1978,NBA,Washington Bullets,WSB,TRUE
1979,NBA,Seattle SuperSonics,SEA,TRUE
1980,NBA,Los Angeles Lakers,LAL,TRUE
1981,NBA,Boston Celtics,BOS,TRUE
1982,NBA,Los Angeles Lakers,LAL,TRUE
1983,NBA,Philadelphia 76ers,PHI,TRUE
1984,NBA,Boston Celtics,BOS,TRUE
1985,NBA,Los Angeles Lakers,LAL,TRUE
1986,NBA,Boston Celtics,BOS,TRUE
1987,NBA,Los Angeles Lakers,LAL,TRUE
1988,NBA,Los Angeles Lakers,LAL,TRUE
1989,NBA,Detroit Pistons,DET,TRUE
1990,NBA,Detroit Pistons,DET,TRUE
1991,NBA,Chicago Bulls,CHI,TRUE
1992,NBA,Chicago Bulls,CHI,TRUE
1993,NBA,Chicago Bulls,CHI,TRUE
1994,NBA,Houston Rockets,HOU,TRUE
1995,NBA,Houston Rockets,HOU,TRUE
1996,NBA,Chicago Bulls,CHI,TRUE
1997,NBA,Chicago Bulls,CHI,TRUE
1998,NBA,Chicago Bulls,CHI,TRUE
1999,NBA,San Antonio Spurs,SAS,TRUE
2000,NBA,Los Angeles Lakers,LAL,TRUE
2001,NBA,Los Angeles Lakers,LAL,TRUE
2002,NBA,Los Angeles Lakers,LAL,TRUE
2003,NBA,San Antonio Spurs,SAS,TRUE
2004,NBA,Detroit Pistons,DET,TRUE
2005,NBA,San Antonio Spurs,SAS,TRUE
2006,NBA,Miami Heat,MIA,TRUE
2007,NBA,San Antonio Spurs,SAS,TRUE
2008,NBA,Boston Celtics,BOS,TRUE
2009,NBA,Los Angeles Lakers,LAL,TRUE
2010,NBA,Los Angeles Lakers,LAL,TRUE
2011,NBA,Dallas Mavericks,DAL,TRUE
2012,NBA,Miami Heat,MIA,TRUE
2013,NBA,Miami Heat,MIA,TRUE
2014,NBA,San Antonio Spurs,SAS,TRUE
2015,NBA,Golden State Warriors,GSW,TRUE
2016,NBA,Cleveland Cavaliers,CLE,TRUE
2017,NBA,Golden State Warriors,GSW,TRUE
2018,NBA,Golden State Warriors,GSW,TRUE
2019,NBA,Toronto Raptors,TOR,TRUE
2020,NBA,Los Angeles Lakers,LAL,TRUE
2021,NBA,Milwaukee Bucks,MIL,TRUE
2022,NBA,Golden State Warriors,GSW,TRUE
2023,NBA,Denver Nuggets,DEN,TRUE
2024,NBA,Boston Celtics,BOS,TRUE